# Time [s], Inlet [kg/m^3]
1.15942e-01,2.05417e+00
1.17754e-01,2.06708e+00
1.19565e-01,2.06750e+00
1.21377e-01,2.05500e+00
1.23188e-01,2.03167e+00
1.25000e-01,2.00333e+00
1.26812e-01,1.97375e+00
1.28623e-01,1.93958e+00
1.30435e-01,1.90458e+00
1.32246e-01,1.85917e+00
1.34058e-01,1.82958e+00
1.35870e-01,1.81292e+00
1.37681e-01,1.79875e+00
1.39493e-01,1.78542e+00
1.41304e-01,1.77375e+00
1.43116e-01,1.76333e+00
1.44928e-01,1.75375e+00
1.46739e-01,1.74583e+00
1.48551e-01,1.73917e+00
1.50362e-01,1.73375e+00
1.52174e-01,1.72917e+00
1.53986e-01,1.71958e+00
1.55797e-01,1.71125e+00
1.57609e-01,1.70792e+00
1.59420e-01,1.70667e+00
1.61232e-01,1.70167e+00
1.63043e-01,1.69500e+00
1.64855e-01,1.58625e+00
1.66667e-01,1.41083e+00
1.68478e-01,1.29917e+00
1.70290e-01,1.22708e+00
1.72101e-01,1.16958e+00
1.73913e-01,1.12333e+00
1.75725e-01,1.08750e+00
1.77536e-01,1.05667e+00
1.79348e-01,1.00958e+00
1.81159e-01,9.57500e-01
1.82971e-01,9.07500e-01
1.84783e-01,8.61250e-01
1.86594e-01,8.15833e-01
1.88406e-01,7.70000e-01
1.90217e-01,7.24583e-01
1.92029e-01,6.77917e-01
1.93841e-01,6.27917e-01
1.95652e-01,5.78333e-01
1.97464e-01,5.27083e-01
1.99275e-01,4.74167e-01
2.01087e-01,4.22917e-01
2.02899e-01,3.73958e-01
2.04710e-01,3.26458e-01
2.06522e-01,2.80000e-01
2.08333e-01,2.34208e-01
2.10145e-01,1.87875e-01
2.11957e-01,1.41333e-01
2.13768e-01,8.28750e-02
2.15580e-01,-2.09542e-02
2.17391e-01,-6.05417e-02
2.19203e-01,-6.35000e-02
2.21014e-01,-6.52500e-02
2.22826e-01,-6.82500e-02
2.24638e-01,-6.17083e-02
2.26449e-01,-4.06708e-02
2.28261e-01,-1.35542e-02
2.30072e-01,0.00000e+00
2.31884e-01,0.00000e+00
2.33696e-01,0.00000e+00
2.35507e-01,0.00000e+00
2.37319e-01,0.00000e+00
2.39130e-01,0.00000e+00
2.40942e-01,0.00000e+00
2.42754e-01,0.00000e+00
2.44565e-01,0.00000e+00
2.46377e-01,0.00000e+00
2.48188e-01,0.00000e+00
2.50000e-01,0.00000e+00
2.51812e-01,0.00000e+00
2.53623e-01,0.00000e+00
2.55435e-01,0.00000e+00
2.57246e-01,0.00000e+00
2.59058e-01,0.00000e+00
2.60870e-01,0.00000e+00
2.62681e-01,0.00000e+00
2.64493e-01,0.00000e+00
2.66304e-01,0.00000e+00
2.68116e-01,0.00000e+00
2.69928e-01,0.00000e+00
2.71739e-01,0.00000e+00
2.73551e-01,0.00000e+00
2.75362e-01,0.00000e+00
2.77174e-01,0.00000e+00
2.78986e-01,0.00000e+00
2.80797e-01,0.00000e+00
2.82609e-01,0.00000e+00
2.84420e-01,0.00000e+00
2.86232e-01,0.00000e+00
